Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
9/30/2019,10/1/2019,9218,PANERA BREAD #601553,Dining,13.01,
9/30/2019,10/1/2019,9218,NOODLES & CO 229,Dining,12.73,
9/30/2019,10/1/2019,9218,PICK N SAVE #868,Merchandise,29.66,
9/29/2019,10/1/2019,9218,KWIK TRIP  96400009647,Gas/Automotive,9.98,
9/28/2019,9/30/2019,9218,HLU*Hulu 318991822340-U,Phone/Cable,47.49,
9/27/2019,9/30/2019,9218,KWIK TRIP  48700004879,Gas/Automotive,42.2,
9/27/2019,9/30/2019,9218,STARBUCKS STORE 53611,Dining,3.11,
9/27/2019,9/28/2019,9218,PANERA BREAD #601553,Dining,12.48,
9/26/2019,9/27/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.44,
9/25/2019,9/27/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
9/25/2019,9/26/2019,9218,PANERA BREAD #601553,Dining,2.3,
9/25/2019,9/26/2019,9218,PANERA BREAD #601553,Dining,13.01,
9/24/2019,9/26/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
9/25/2019,9/26/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
9/23/2019,9/24/2019,9218,TARGET        00008631,Merchandise,43.14,
9/23/2019,9/24/2019,9218,AMZN Mktp US*IO1CL2NK3,Merchandise,33.8,
9/22/2019,9/24/2019,9218,KWIK TRIP  96500009654,Gas/Automotive,1.57,
9/22/2019,9/23/2019,9218,FRESH THYME #701,Merchandise,23,
9/21/2019,9/23/2019,9218,HOTELRED,Dining,18,
9/21/2019,9/23/2019,9218,ECHO TAP & GRILL,Dining,13.74,
9/21/2019,9/23/2019,9218,2UWM CONC     18654202,Dining,12,
9/21/2019,9/23/2019,9218,KWIK TRIP  85800008581,Gas/Automotive,7.04,
9/21/2019,9/23/2019,9218,KWIK TRIP  85800008581,Gas/Automotive,37.76,
9/21/2019,9/23/2019,9218,AMAZON.COM*S79DC7UE3 AMZN,Merchandise,49.48,
9/20/2019,9/23/2019,9218,BROWNPAPERTICKETS COM,Other Services,339.96,
9/20/2019,9/23/2019,9218,BLACKSTONE CREEK GOLF CLU,Entertainment,24,
9/20/2019,9/21/2019,9218,PANERA BREAD #601553,Dining,13.53,
9/21/2019,9/21/2019,9218,GOLFNOW*TEETIMES,Entertainment,0.84,
9/20/2019,9/21/2019,9218,TARGET        00008631,Merchandise,44.42,
9/20/2019,9/21/2019,9218,PICK N SAVE #880,Merchandise,28.66,
9/19/2019,9/21/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
9/20/2019,9/21/2019,9218,LATITUDE CAFE LLC,Merchandise,4.62,
9/19/2019,9/20/2019,9218,SENDIK S GERMANTOWN,Merchandise,11.86,
9/19/2019,9/20/2019,9218,DNCSS MILLER PARK CONC,Dining,16.96,
9/19/2019,9/20/2019,9218,Spotify USA,Phone/Cable,10.55,
9/18/2019,9/19/2019,9218,COUSINS SUBS #1110,Dining,9.06,
9/18/2019,9/19/2019,9218,DNCSS MILLER PARK CONC,Dining,20.99,
9/17/2019,9/19/2019,9218,DNCSS MILLER PARK CONC,Dining,21.28,
9/17/2019,9/19/2019,9218,STARBUCKS STORE 09618,Dining,4.07,
9/17/2019,9/18/2019,9218,PANERA BREAD #601553 P,Dining,13.01,
9/16/2019,9/18/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
9/16/2019,9/17/2019,9218,TARGET        00008631,Merchandise,51.7,
9/15/2019,9/16/2019,9218,HONEYPIE CAFE & BAKERY,Dining,140.19,
9/15/2019,9/16/2019,9218,UBER   TRIP,Other Travel,9.17,
9/14/2019,9/16/2019,9218,FRESH THYME #701,Merchandise,42.16,
9/14/2019,9/16/2019,9218,MILW CO DRETZKA GOLF,Entertainment,24.81,
9/14/2019,9/16/2019,9218,DRETZKA REST,Dining,30,
9/14/2019,9/16/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,84.53,
9/13/2019,9/14/2019,9218,PANERA BREAD #601553,Dining,13.01,
9/13/2019,9/14/2019,9218,PICK N SAVE #880,Merchandise,17.4,
9/13/2019,9/14/2019,9218,PICK N SAVE #880,Merchandise,5.18,
9/13/2019,9/14/2019,9218,PICK N SAVE #880,Merchandise,6.53,
9/13/2019,9/14/2019,9218,TARGET        00008631,Merchandise,48.82,
9/13/2019,9/14/2019,9218,SPECTRUM,Phone/Cable,69.69,
9/12/2019,9/14/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,36.49,
9/12/2019,9/13/2019,9218,SENDIK S GERMANTOWN,Merchandise,49.18,
9/12/2019,9/13/2019,9218,TRADER JOE'S #711  QPS,Merchandise,19.82,
9/12/2019,9/13/2019,9218,PICK N SAVE #868,Merchandise,3.58,
9/11/2019,9/12/2019,9218,SENDIK S GERMANTOWN,Merchandise,19,
9/10/2019,9/12/2019,9218,USCONNECT WATSN VEND 1 S,Dining,2.45,
9/10/2019,9/12/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
9/10/2019,9/11/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.44,
9/9/2019,9/11/2019,9218,SUBWAY        00143008,Dining,9.17,
9/9/2019,9/10/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.21,
9/8/2019,9/10/2019,9218,JERSEY MIKES 29005,Dining,11.55,
9/9/2019,9/10/2019,9218,PICK N SAVE #868,Merchandise,25.33,
9/8/2019,9/9/2019,9218,EDGE OF THE DELLS,Dining,18,
9/7/2019,9/9/2019,9218,EDGE O DELLS RESORT,Lodging,26.5,
9/7/2019,9/9/2019,9218,EDGE O DELLS RESORT,Lodging,36.83,
9/7/2019,9/9/2019,9218,Audible US*MO8F588N0,Other Services,15.79,
9/7/2019,9/9/2019,9218,FACEBK *NationalSuicid,Other Services,50,
9/6/2019,9/9/2019,9218,KWIK TRIP  24400002444,Gas/Automotive,39.3,
9/6/2019,9/7/2019,9218,PANERA BREAD #601553,Dining,10.17,
9/6/2019,9/7/2019,9218,PANERA BREAD #601553 P,Dining,2.41,
9/6/2019,9/7/2019,9218,MAURER'S MARKET,Merchandise,50.23,
9/5/2019,9/7/2019,9218,USCONNECT WATSN VEND 1 S,Dining,1.45,
9/5/2019,9/6/2019,9218,PICK N SAVE #880,Merchandise,16.42,
9/4/2019,9/6/2019,9218,USCONNECT WATSN VEND 1 S,Dining,2.45,
9/4/2019,9/6/2019,9218,CAFE ZUPAS-MENOMONEE,Dining,11.22,
9/4/2019,9/6/2019,9218,STARBUCKS STORE 09618,Dining,4.07,
9/4/2019,9/5/2019,9218,PICK N SAVE #880,Merchandise,30.6,
9/4/2019,9/5/2019,9218,PICK N SAVE #880,Merchandise,13.74,
9/4/2019,9/4/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2396.38
9/3/2019,9/4/2019,9218,PANERA BREAD #601553,Dining,13.01,
9/2/2019,9/4/2019,9218,THE EXCLUSIVE COMPANY,Merchandise,23.22,
9/2/2019,9/3/2019,9218,ERIKS BIKE SHOP,Merchandise,57.53,
9/2/2019,9/3/2019,9218,Kindle Svcs*MO74I70C0,Entertainment,2.1,
9/1/2019,9/2/2019,9218,GLORIOSO BROTHERS CO,Merchandise,16.18,
9/1/2019,9/2/2019,9218,FRESH THYME #701,Merchandise,5.4,
8/31/2019,9/2/2019,9218,CLARK 8435,Gas/Automotive,6.99,
8/31/2019,9/2/2019,9218,PICK N SAVE #868,Merchandise,8.44,
8/31/2019,9/2/2019,9218,PICK N SAVE #868,Merchandise,21.98,
8/31/2019,9/2/2019,9218,LATITUDE CAFE LLC,Merchandise,4.54,
8/31/2019,9/2/2019,9218,TANGLE OF GERMANTOWN,Other Services,28,
8/30/2019,9/2/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.98,
8/31/2019,9/2/2019,9218,DOMINO'S 2048,Dining,24.99,
8/31/2019,8/31/2019,9218,LYFT   *RIDE FRI 7PM,Other Travel,8.06,
8/28/2019,8/30/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,7.79,
8/28/2019,8/29/2019,9218,HLU*Hulu 318991823897-U,Phone/Cable,47.49,
8/27/2019,8/29/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
8/28/2019,8/29/2019,9218,MILW CO DRETZKA GOLF,Entertainment,31,
8/27/2019,8/29/2019,9218,USCONNECT WATSN VEND 1 S,Dining,1.45,
8/27/2019,8/28/2019,9218,WAL-MART #1515,Merchandise,10.3,
8/26/2019,8/28/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,36.8,
8/26/2019,8/28/2019,9218,STARBUCKS STORE 09618,Dining,3.12,
8/26/2019,8/27/2019,9218,PANERA BREAD #601553 P,Dining,12.69,
8/26/2019,8/27/2019,9218,FRESH THYME #701,Merchandise,40,
8/25/2019,8/27/2019,9218,PLAINFIELD T/P-CITGOVEL P,Gas/Automotive,3.46,
8/24/2019,8/26/2019,9218,HAMPTON CHIPPEWA FALLS,Lodging,145.28,
8/24/2019,8/26/2019,9218,WAL-MART #1669,Merchandise,32.05,
8/24/2019,8/26/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
8/23/2019,8/26/2019,9218,KWIK TRIP  14200001420,Gas/Automotive,5.99,
8/23/2019,8/26/2019,9218,KWIK TRIP  14200001420,Gas/Automotive,42.44,
8/22/2019,8/24/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
8/21/2019,8/23/2019,9218,STARBUCKS STORE 09618,Dining,5.23,
8/21/2019,8/22/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.98,
8/20/2019,8/22/2019,9218,KWIK TRIP  24400002444,Gas/Automotive,5.97,
8/19/2019,8/20/2019,9218,PANERA BREAD #601553,Dining,13.01,
8/19/2019,8/20/2019,9218,CKE*MR BREWS TAPHOUS 1800,Dining,17.71,
8/19/2019,8/20/2019,9218,Spotify USA,Phone/Cable,10.55,
8/18/2019,8/19/2019,9218,EA *ORIGIN.COM,Other Services,63.35,
8/18/2019,8/19/2019,9218,MLWAUKEE WORLDFEST,Entertainment,21,
8/17/2019,8/19/2019,9218,IRISH FESTIVALS INC,Dining,8.26,
8/17/2019,8/19/2019,9218,WATER STREET BREWERY,Dining,15,
8/17/2019,8/19/2019,9218,IRISH FESTIVALS INC,Dining,16.52,
8/17/2019,8/19/2019,9218,IRISH FESTIVALS INC,Dining,8.26,
8/17/2019,8/19/2019,9218,IRISH FESTIVALS INC,Dining,8.26,
8/17/2019,8/19/2019,9218,IRISH FESTIVALS INC,Dining,8.26,
8/17/2019,8/19/2019,9218,UBER   TRIP,Other Travel,1,
8/17/2019,8/19/2019,9218,UBER   TRIP,Other Travel,7.95,
8/17/2019,8/19/2019,9218,TM *TICKETMASTER TICKT,Entertainment,314.55,
8/14/2019,8/16/2019,9218,STARBUCKS STORE 09618,Dining,9.62,
8/14/2019,8/16/2019,9218,SPEEDWAY 04495 GERMANTOWN,Gas/Automotive,41.32,
8/14/2019,8/15/2019,9218,FRESH THYME #701,Merchandise,57.1,
8/14/2019,8/15/2019,9218,PROGRESSIVE *INSURANCE,Insurance,528,
8/13/2019,8/15/2019,9218,WEISSMAN AUTO,Gas/Automotive,70.03,
8/14/2019,8/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,68.09,
8/12/2019,8/14/2019,9218,OLYDIAS BAR AND GRILL,Dining,22.02,
8/13/2019,8/14/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
8/14/2019,8/14/2019,9218,CREDIT-TRAVEL REWARD,Lodging,,170.84
8/14/2019,8/14/2019,9218,CREDIT-TRAVEL REWARD,Lodging,,131.67
8/14/2019,8/14/2019,9218,CREDIT-TRAVEL REWARD,Lodging,,131.67
8/14/2019,8/14/2019,9218,CREDIT-TRAVEL REWARD,Other Travel,,184
8/12/2019,8/13/2019,9218,SENDIK S GERMANTOWN,Merchandise,9,
8/11/2019,8/12/2019,9218,PICK N SAVE #868,Merchandise,27.7,
8/10/2019,8/12/2019,9218,CAMBRIA SUITES MADISON,Lodging,131.67,
8/10/2019,8/12/2019,9218,SUBWAY        04576500,Dining,7.37,
8/10/2019,8/12/2019,9218,SPEEDWAY 04226 MENOMONEE,Gas/Automotive,4.68,
8/9/2019,8/12/2019,9218,USCONNECT WATSN VEND 1 S,Dining,1.45,
8/9/2019,8/12/2019,9218,EMERYS SUPER FITNESS,Merchandise,4.74,
8/9/2019,8/10/2019,9218,PANERA BREAD #601553,Dining,11.42,
8/9/2019,8/10/2019,9218,BANANAREPUBLIC US 8443,Merchandise,85.01,
8/10/2019,8/10/2019,9218,PANERA BREAD #601548 P,Dining,14.14,
8/8/2019,8/9/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.15,
8/7/2019,8/8/2019,9218,SPEEDWAY 04495 GERMANTOWN,Gas/Automotive,1.99,
8/7/2019,8/8/2019,9218,SPEEDWAY 04495 GERMANTOWN,Gas/Automotive,39.69,
8/7/2019,8/8/2019,9218,Audible US*MA2SD47G2,Other Services,15.79,
8/7/2019,8/7/2019,9218,CAPITAL ONE MEMBER FEE,Fee/Interest Charge,59,
8/6/2019,8/7/2019,9218,JIMMY JOHNS # 123,Dining,10,
8/5/2019,8/7/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
8/5/2019,8/6/2019,9218,PICK N SAVE #418,Merchandise,32.71,
8/5/2019,8/6/2019,9218,PICK N SAVE #418,Merchandise,51.07,
8/2/2019,8/5/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,8.3,
8/2/2019,8/5/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,42.36,
8/2/2019,8/3/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.98,
8/1/2019,8/3/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
7/31/2019,8/1/2019,9218,PANERA BREAD #601553,Dining,12.48,
7/30/2019,7/31/2019,9218,PICK N SAVE #418,Merchandise,37.14,
7/29/2019,7/30/2019,9218,SENDIK S GERMANTOWN,Merchandise,10,
7/29/2019,7/30/2019,9218,TST* EAGLE PARK BREWING C,Dining,30.35,
7/28/2019,7/30/2019,9218,KOPPS CUSTARDGLENDALE,Dining,7.26,
7/28/2019,7/30/2019,9218,KWIK TRIP  80800008086,Gas/Automotive,38.84,
7/28/2019,7/29/2019,9218,HLU*Hulu 318991820209-U,Phone/Cable,47.49,
7/27/2019,7/29/2019,9218,BP#9810268WILD GOOSE STA,Gas/Automotive,1.68,
7/26/2019,7/27/2019,9218,PANERA BREAD #601553,Dining,13.01,
7/26/2019,7/27/2019,9218,COLLEGE TRANSCRIPT,Other Services,10,
7/25/2019,7/27/2019,9218,EMERYS SUPER FITNESS,Merchandise,49.37,
7/25/2019,7/27/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,1.99,
